subscriber_id,engagement_frequency,subscription_age,billing_history,content_preferences,interaction_recency,usage_patterns,feedback_ratings,device_preference,social_interactions,subscription_plan,promotions_offers,customer_service_interactions,competing_services_usage,geographic_location,email_engagement,subscription_status,cancellationRequested,pauseRequested,onHold,expired
ce5000f2-5a43-49c4-8877-d75313e711d3,1,69,1,1,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
134f9a8c-fe79-4578-a044-36f223ce5636,1,139,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
2fc472f9-c65f-4513-a21c-7e6c54fe5fab,2,169,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
3df22da3-f784-4fd0-abdb-98e5b7ad145b,2,169,1,2,4,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
ad91083b-0805-446d-ae7b-99f031a5ebba,2,159,1,2,2,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
d964d1f0-8b04-40d0-9e60-fabd4febadb1,2,179,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
5258ecdf-dd68-4a4b-9f46-a3eb9380ac9e,2,139,1,1,2,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
ef2a6202-3ba9-42d0-8fe6-10465e596e83,1,180,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
a2ffbe2d-fddd-4f09-bf62-2726a27bf1a2,1,151,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
3dd0e567-2732-46d7-b59b-ff2abb3a47a0,2,104,1,2,2,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
4ab6dda4-6955-4e36-85d6-9858863acdb4,2,84,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
06fc789d-fa8d-4c3c-83ee-b6a117bd0027,1,61,1,2,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
a00566f6-5747-4d8d-a7ea-41ff52984256,1,76,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
6746775f-5b5a-4da7-b956-f0090c905123,2,38,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
51283aea-937d-4169-9be0-d6f598497ed2,1,101,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
f1400fa7-ad6b-4380-832f-325f88854851,2,115,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
e0ce5c59-ffc8-4f6e-abe9-b95456e96926,1,51,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
ecc8c628-7bb7-44de-80e2-5db0cb2227a5,2,64,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
9fbf235c-6ee2-4473-84ea-5df3aeb15576,1,42,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
dce964f6-31b2-47d9-98e6-8e8a39dd5462,2,128,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
da2845e2-8f42-4b7c-81da-1b12d818710c,2,111,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
49d2a52f-1b27-4988-a80b-e419ebbcc393,2,137,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
bcc8c218-8fea-462e-9859-fbad65b605f8,2,161,1,1,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
b4fb2bd8-ac8c-4f87-8cb9-f14f3f95b8a7,1,114,1,2,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
84de4113-889c-407f-bc46-5e313ea38375,2,124,1,1,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
f40e2675-e610-47cf-85a6-832de9fe6691,2,42,1,1,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
20c911a8-9f25-4405-bf16-8da8bfeb52cd,1,166,1,2,3,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
015cb117-0fee-4361-a7e2-6c38e966f00c,1,153,1,1,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
ae9e1d20-86a2-425e-8420-0b2d409df2a9,2,88,1,2,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
7397d519-c41a-4a9d-b3d6-4f094a7f1899,2,53,1,2,4,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
768eae4a-dec6-4c79-a76b-62d1cf10a9e3,1,65,1,1,2,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
7e8807d4-a3a7-4de6-8e27-e23a6d04a2ba,1,146,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
0a3c55d6-7395-4edf-8272-cd520ac9bde8,1,115,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
4ee86ef8-63ef-4f27-98bb-1ac9d1362f8f,2,138,1,1,1,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
99365275-d01e-46ff-9ee5-194f9e8fdf4f,1,134,1,1,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
f90a7333-7c62-4ac7-9c43-3368717ba4bf,2,152,1,1,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
49d3865c-cb11-4517-97ee-211593462710,1,178,1,2,5,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
ad08a59c-7739-4db3-bb68-55b09d48e505,1,61,1,2,4,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
881c05e0-9132-4a5c-89b4-cb6fc33ef099,1,177,1,1,2,1,1,1,1,2,1,2,2,1,1,1,False,False,False,False
